"","master_metadata_album_artist_name","month","hours"
"485","A$AP Rocky",2020-07-31,0.0439461111111111
"486","A$AP Rocky",2020-08-31,0.260472777777778
"487","A$AP Rocky",2020-09-30,0.399200555555556
"488","A$AP Rocky",2020-10-31,0.407182222222222
"489","A$AP Rocky",2020-12-31,0.156259444444444
"490","A$AP Rocky",2021-02-28,0.341874444444444
"491","A$AP Rocky",2021-03-31,0.185658333333333
"492","A$AP Rocky",2021-11-30,0.0725261111111111
"493","A$AP Rocky",2021-12-31,0.0569555555555556
"494","A$AP Rocky",2022-01-31,0.396332222222222
"495","A$AP Rocky",2022-03-31,0.0491405555555556
"496","A$AP Rocky",2022-04-30,0.175894444444444
"497","A$AP Rocky",2022-05-31,0.164468055555556
"498","A$AP Rocky",2022-06-30,0.3885175
"499","A$AP Rocky",2022-07-31,0.0593769444444444
"500","A$AP Rocky",2022-09-30,0.0439458333333333
"501","A$AP Rocky",2022-11-30,0.232738888888889
"502","A$AP Rocky",2022-12-31,0.0724961111111111
"503","A$AP Rocky",2023-01-31,0.222133055555556
"504","A$AP Rocky",2023-04-30,0.0724861111111111
"505","A$AP Rocky",2023-06-30,0.113902777777778
"506","A$AP Rocky",2023-07-31,0.937851944444444
"507","A$AP Rocky",2023-08-31,0.0439458333333333
"508","A$AP Rocky",2023-09-30,0.116421388888889
"509","A$tro Boi",2022-07-31,0.0502777777777778
"510","A-Trak",2019-04-30,0.217461666666667
"511","A. Billi Free",2019-07-31,0.0984952777777778
"512","A. Billi Free",2019-08-31,0.115906944444444
"513","A. Kanyakumari",2020-12-31,0.00525611111111111
"514","A.CHAL",2020-03-31,0.158603888888889
"515","A.CHAL",2020-04-30,1.295805
"516","A.CHAL",2020-09-30,0.0917855555555556
"517","A.CHAL",2021-10-31,0.0458927777777778
"518","A.M.T",2018-11-30,0.00123333333333333
"519","A.R. Rahman",2020-12-31,0.0617777777777778
"520","A.S Dragon",2022-02-28,0.0648211111111111
"521","A1 x J1",2021-09-30,0.0439213888888889
"522","A2h",2018-11-30,0.473524166666667
"523","A2h",2018-12-31,1.8715825
"524","A2h",2019-01-31,0.535384722222222
"525","A2h",2019-02-28,0.583358611111111
"526","A2h",2019-04-30,0.2304425
"527","A2h",2019-05-31,0.331468055555556
"528","A2h",2019-06-30,1.06790972222222
"529","A2h",2019-07-31,0.204807222222222
"530","A2h",2019-08-31,0.0505127777777778
"531","A2h",2019-10-31,0.169827777777778
"532","A2h",2019-11-30,0.209856944444444
"533","A2h",2019-12-31,0.0488641666666667
"534","A2h",2020-01-31,0.328038333333333
"535","A2h",2020-02-29,0.306465
"536","A2h",2020-03-31,0.648863055555556
"537","A2h",2020-04-30,0.525475277777778
"538","A2h",2020-05-31,0.218692222222222
"539","A2h",2020-06-30,0.158210555555556
"540","A2h",2020-07-31,0.299232777777778
"541","A2h",2020-08-31,0.109346388888889
"542","A2h",2020-09-30,0.165633055555556
"543","A2h",2020-11-30,0.0691802777777778
"544","A2h",2020-12-31,0.00843972222222222
"545","A2h",2021-03-31,0.0977291666666667
"546","A2h",2021-04-30,0.0604816666666667
"547","A2h",2021-07-31,0.0488644444444444
"548","A2h",2021-08-31,0.0741383333333333
"549","A2h",2021-09-30,0.659114722222222
"550","A2h",2021-10-31,0.634867777777778
"551","A2h",2021-11-30,0.149560833333333
"552","A2h",2021-12-31,0.195894722222222
"553","A2h",2022-01-31,0.298356388888889
"554","A2h",2022-02-28,0.0488644444444444
"555","A2h",2022-03-31,0.487020277777778
"556","A2h",2022-04-30,0.0369366666666667
"557","A2h",2022-05-31,0.438403333333333
"558","A2h",2022-09-30,0.0461208333333333
"559","A2h",2022-11-30,0.141423333333333
"560","A2h",2023-01-31,0.04829
"561","A2h",2023-02-28,0.203349722222222
"562","A4 Reggae Orchestra",2021-04-30,0.177948333333333
"563","A4 Reggae Orchestra",2021-05-31,0.233076388888889
"564","A4 Reggae Orchestra",2021-06-30,0.056955
"565","A4 Reggae Orchestra",2021-07-31,0.0866025
"566","A4 Reggae Orchestra",2021-08-31,0.113413055555556
"567","A4 Reggae Orchestra",2021-09-30,0.00369333333333333
